 0.4281963205305D-09 0.1227064420376D-06
 0.1369728898237D-09 0.7004232493207D-08
 0.4382014404015D-10 0.7419796251802D-09
 0.1300142533742D-10 0.1344046190086D-09
 0.7844980583647D-12 0.3835750704669D-10
-0.4546856543768D-11 0.1588883190581D-10
-0.6805661665091D-11 0.8800307588492D-11
-0.7552667871978D-11 0.6003368631972D-11
-0.7519407757176D-11 0.4646016919779D-11
-0.7080597086053D-11 0.3764564437084D-11
-0.6440412372519D-11 0.3069059458145D-11
-0.5714809057346D-11 0.2510487800726D-11
-0.4972386082825D-11 0.2057612792471D-11
-0.4253793418225D-11 0.1687352799461D-11
-0.3583313304483D-11 0.1382505590184D-11
-0.2974739109064D-11 0.1130135877823D-11
-0.2435324853718D-11 0.9204206238408D-12
-0.1967218349621D-11 0.7458141531253D-12
-0.1569150807379D-11 0.6004397290005D-12
-0.1237028949767D-11 0.4796439197105D-12
-0.9649087463054D-12 0.3796699184730D-12
-0.7456965814268D-12 0.2974192223072D-12
-0.5716381322980D-12 0.2302798753652D-12
-0.4352766124799D-12 0.1760052830494D-12
-0.3297116442436D-12 0.1326314019596D-12
-0.2487738863905D-12 0.9842261723989D-13
-0.1870821206990D-12 0.7183834473747D-13
-0.1403769830734D-12 0.5151370421616D-13
-0.1051673122523D-12 0.3624874464027D-13
-0.7874342716355D-13 0.2500180235185D-13
-0.5894968436353D-13 0.1688368868786D-13
-0.4414906470064D-13 0.1115051724551D-13
-0.3306614915951D-13 0.7194030205739D-14
-0.2485870332390D-13 0.4529188424301D-14
-0.1878946343929D-13 0.2779480970519D-14
-0.1423232986306D-13 0.1660844917262D-14
-0.1070082618845D-13 0.9652629299313D-15
-0.8324882585492D-14 0.5450600880704D-15
-0.6422412738375D-14 0.2987156995230D-15
-0.4923596690452D-14 0.1587160201916D-15
-0.3955574324490D-14 0.8167100601222D-16
-0.3177242083375D-14 0.4065705370858D-16
-0.2490786484133D-14 0.1955969625095D-16
-0.1997467815688D-14 0.9084157233699D-17
-0.1651335880107D-14 0.4068574881132D-17
-0.1363671635357D-14 0.1755393538335D-17
-0.1117363337522D-14 0.7288213031033D-18
-0.9124916946690D-15 0.2908856488725D-18
-0.7517072705405D-15 0.1114856221069D-18
-0.6327560058767D-15 0.4098752759769D-19
-0.5465613259553D-15 0.1443983090161D-19
-0.4836302736646D-15 0.4869579667599D-20
-0.4352940294497D-15 0.1570295832683D-20
-0.3933351179768D-15 0.4836976017941D-21
-0.3515695371016D-15 0.1421709299328D-21
-0.3101638021840D-15 0.3983218869035D-22
-0.2705235753370D-15 0.1062640147829D-22
-0.2340545186738D-15 0.2696554660746D-23
-0.2021622943076D-15 0.6501978760434D-24
-0.1760444849010D-15 0.1488118761020D-24
-0.1553131141129D-15 0.3229444587053D-25
-0.1388504404126D-15 0.6638329446974D-26
-0.1255348499598D-15 0.1291139140868D-26
-0.1142447289141D-15 0.2373630796997D-27
-0.1038888396082D-15 0.4120233137847D-28
-0.9407874104538D-16 0.6745925883159D-29
-0.8513109921475D-16 0.1040675102707D-29
-0.7732848119678D-16 0.1511072421798D-30
-0.7054733040078D-16 0.2062978096985D-31
-0.6450779679544D-16 0.2645366794301D-32
-0.5900650086737D-16 0.3182745069345D-33
-0.5400811203232D-16 0.3589097263450D-34
-0.4949819597880D-16 0.3789472585815D-35
-0.4543886383204D-16 0.3742184860407D-36
-0.4177223051986D-16 0.3452767978513D-37
-0.3844360468344D-16 0.2973363545992D-38
-0.3541809413878D-16 0.0000000000000D+00
-0.3266719317292D-16 0.0000000000000D+00
-0.3016379683176D-16 0.0000000000000D+00
-0.2788337498376D-16 0.0000000000000D+00
-0.2580197612167D-16 0.0000000000000D+00
-0.2389976534972D-16 0.0000000000000D+00
-0.2215988690459D-16 0.0000000000000D+00
-0.2056618925870D-16 0.0000000000000D+00
-0.1910524999183D-16 0.0000000000000D+00
-0.1776439638180D-16 0.0000000000000D+00
-0.1653216417616D-16 0.0000000000000D+00
-0.1539897065215D-16 0.0000000000000D+00
-0.1435551906623D-16 0.0000000000000D+00
